   0.380469323E+01 -0.483161618E-01 -0.145000000E+00  0.240069260E-15  0.120793651E-05 -0.213912188E+00  0.770750033E-02  0.976822486E+00  0.380500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.205000000E+00  0.945480360E-15  0.121111111E-05 -0.213438851E+00  0.765358584E-02  0.976926445E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.195000000E+00  0.355268478E-14  0.121111111E-05 -0.213768781E+00  0.766541665E-02  0.976854211E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.185000000E+00  0.546523967E-14  0.121111111E-05 -0.214099709E+00  0.767728320E-02  0.976781641E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.175000000E+00  0.607721390E-14  0.121111111E-05 -0.214431638E+00  0.768918567E-02  0.976708733E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.165000000E+00  0.370537157E-14  0.121111111E-05 -0.214764573E+00  0.770112420E-02  0.976635485E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.155000000E+00  0.839568880E-15  0.121111111E-05 -0.215098519E+00  0.771309896E-02  0.976561895E+00  0.381500000E+01 -0.126984127E-01
   0.381469242E+01 -0.484431425E-01 -0.145000000E+00  0.240446724E-15  0.121111111E-05 -0.215433479E+00  0.772511011E-02  0.976487961E+00  0.381500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.265000000E+00  0.348606704E-15  0.121428571E-05 -0.212974463E+00  0.760069470E-02  0.977028202E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.255000000E+00  0.337831696E-14  0.121428571E-05 -0.213300576E+00  0.761233309E-02  0.976956968E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.245000000E+00  0.806265753E-14  0.121428571E-05 -0.213627664E+00  0.762400633E-02  0.976885406E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.235000000E+00  0.155912655E-13  0.121428571E-05 -0.213955734E+00  0.763571456E-02  0.976813513E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.225000000E+00  0.206939076E-13  0.121428571E-05 -0.214284788E+00  0.764745795E-02  0.976741289E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.215000000E+00  0.218195094E-13  0.121428571E-05 -0.214614831E+00  0.765923663E-02  0.976668731E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.205000000E+00  0.166844586E-13  0.121428571E-05 -0.214945868E+00  0.767105077E-02  0.976595837E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.195000000E+00  0.949259981E-14  0.121428571E-05 -0.215277903E+00  0.768290053E-02  0.976522605E+00  0.382500000E+01 -0.126984127E-01
   0.382469161E+01 -0.485701232E-01 -0.185000000E+00  0.380854366E-14  0.121428571E-05 -0.215610940E+00  0.769478606E-02  0.976449032E+00  0.382500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.315000000E+00  0.126180930E-14  0.121746032E-05 -0.212841154E+00  0.756024915E-02  0.977057565E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.305000000E+00  0.505991720E-14  0.121746032E-05 -0.213164488E+00  0.757173420E-02  0.976986985E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.295000000E+00  0.147600583E-13  0.121746032E-05 -0.213488784E+00  0.758325336E-02  0.976916083E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.285000000E+00  0.259085633E-13  0.121746032E-05 -0.213814043E+00  0.759480678E-02  0.976844857E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.275000000E+00  0.324864535E-13  0.121746032E-05 -0.214140271E+00  0.760639461E-02  0.976773304E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.265000000E+00  0.388696990E-13  0.121746032E-05 -0.214467473E+00  0.761801700E-02  0.976701423E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.255000000E+00  0.360712380E-13  0.121746032E-05 -0.214795651E+00  0.762967410E-02  0.976629211E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.245000000E+00  0.293920410E-13  0.121746032E-05 -0.215124811E+00  0.764136606E-02  0.976556668E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.235000000E+00  0.159733667E-13  0.121746032E-05 -0.215454957E+00  0.765309304E-02  0.976483790E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.225000000E+00  0.518349009E-14  0.121746032E-05 -0.215786092E+00  0.766485519E-02  0.976410576E+00  0.383500000E+01 -0.126984127E-01
   0.383469081E+01 -0.486971039E-01 -0.215000000E+00  0.472439427E-15  0.121746032E-05 -0.216118223E+00  0.767665266E-02  0.976337023E+00  0.383500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.365000000E+00  0.124514066E-14  0.122063492E-05 -0.212709934E+00  0.752043868E-02  0.977086448E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.355000000E+00  0.703484797E-14  0.122063492E-05 -0.213030537E+00  0.753177374E-02  0.977016511E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.345000000E+00  0.160456578E-13  0.122063492E-05 -0.213352086E+00  0.754314220E-02  0.976946257E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.335000000E+00  0.318463030E-13  0.122063492E-05 -0.213674583E+00  0.755454421E-02  0.976875684E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.325000000E+00  0.421391146E-13  0.122063492E-05 -0.213998033E+00  0.756597991E-02  0.976804790E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.315000000E+00  0.539781141E-13  0.122063492E-05 -0.214322441E+00  0.757744945E-02  0.976733574E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.305000000E+00  0.584015496E-13  0.122063492E-05 -0.214647809E+00  0.758895298E-02  0.976662033E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.295000000E+00  0.519926061E-13  0.122063492E-05 -0.214974143E+00  0.760049064E-02  0.976590165E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.285000000E+00  0.360435437E-13  0.122063492E-05 -0.215301447E+00  0.761206258E-02  0.976517969E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.275000000E+00  0.187186107E-13  0.122063492E-05 -0.215629724E+00  0.762366895E-02  0.976445442E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.265000000E+00  0.746127879E-14  0.122063492E-05 -0.215958980E+00  0.763530990E-02  0.976372583E+00  0.384500000E+01 -0.126984127E-01
   0.384469000E+01 -0.488240847E-01 -0.255000000E+00  0.350652496E-15  0.122063492E-05 -0.216289218E+00  0.764698558E-02  0.976299390E+00  0.384500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.415000000E+00  0.134005332E-14  0.122380952E-05 -0.212580755E+00  0.748124844E-02  0.977114862E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.405000000E+00  0.683222520E-14  0.122380952E-05 -0.212898673E+00  0.749243677E-02  0.977045556E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.395000000E+00  0.226887206E-13  0.122380952E-05 -0.213217520E+00  0.750365781E-02  0.976975938E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.385000000E+00  0.386418633E-13  0.122380952E-05 -0.213537302E+00  0.751491172E-02  0.976906007E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.375000000E+00  0.541285046E-13  0.122380952E-05 -0.213858020E+00  0.752619861E-02  0.976835761E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.365000000E+00  0.677787884E-13  0.122380952E-05 -0.214179681E+00  0.753751865E-02  0.976765197E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.355000000E+00  0.738887466E-13  0.122380952E-05 -0.214502287E+00  0.754887197E-02  0.976694314E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.345000000E+00  0.751447153E-13  0.122380952E-05 -0.214825843E+00  0.756025871E-02  0.976623110E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.335000000E+00  0.584414347E-13  0.122380952E-05 -0.215150352E+00  0.757167901E-02  0.976551584E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.325000000E+00  0.410710323E-13  0.122380952E-05 -0.215475820E+00  0.758313303E-02  0.976479732E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.315000000E+00  0.243944905E-13  0.122380952E-05 -0.215802250E+00  0.759462091E-02  0.976407554E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.305000000E+00  0.796266674E-14  0.122380952E-05 -0.216129646E+00  0.760614279E-02  0.976335046E+00  0.385500000E+01 -0.126984127E-01
   0.385468920E+01 -0.489510654E-01 -0.295000000E+00  0.578362369E-15  0.122380952E-05 -0.216458012E+00  0.761769883E-02  0.976262208E+00  0.385500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.465000000E+00  0.110284499E-14  0.122698413E-05 -0.212453569E+00  0.744266406E-02  0.977142818E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.455000000E+00  0.807074704E-14  0.122698413E-05 -0.212768846E+00  0.745370882E-02  0.977074133E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.445000000E+00  0.219544330E-13  0.122698413E-05 -0.213085037E+00  0.746478563E-02  0.977005140E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.435000000E+00  0.420342451E-13  0.122698413E-05 -0.213402148E+00  0.747589462E-02  0.976935839E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.425000000E+00  0.649149433E-13  0.122698413E-05 -0.213720181E+00  0.748703594E-02  0.976866229E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.415000000E+00  0.814390093E-13  0.122698413E-05 -0.214039140E+00  0.749820971E-02  0.976796306E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.405000000E+00  0.912229886E-13  0.122698413E-05 -0.214359030E+00  0.750941608E-02  0.976726070E+00  0.386500000E+01 -0.126984127E-01
